Activate Meridian 	活络 	hl
Alleviate Asthma 	平喘 	pc
Alleviate Convulsions 	解痉 	jj
Alleviate Cough 	除咳 	ck
Alleviate Diarrhea 	止泻 	zx
Alleviate Dizziness 	止眩晕 	zxy
Alleviate Headache 	止頭痛	ztt
Alleviate Itching 	止痒 	zy
Alleviate Pain 	止痛 	zt
Alleviate Palpitations 	止心跳 	zxt
Alleviate Spasms 	止抽搐 	zcc
Alleviate Sweating 	止汗 	zh
Alleviate Tremors 	止震颤 	zzc
Alleviate Vomiting 	止呕 	zo
Alleviate Wheezing 	止喷嚏 	zpt
Anchor Qi 	固气 	gq
Anchor Shen 	安神 	as
Anchor Yang 	守阳 	sy
Arouse Brain 	活腦 	hn
Arouse Shen 	提神 	ts
Astringe Essence 	固精 	gj
Astringe Intestines 	祛肠 	qc
Benefit Axilla 	利腋窝 	lyw
Benefit Breast 	益乳房 	yrf
Benefit Diaphragm 	利膈 	lg
Benefit Ears 	聪耳 	ce
Benefit Genitals 	利生殖器 	lszq
Benefit Gum 	利牙龈 	lyy
Benefit Heel 	利足跟 	lzg
Benefit Joint 	利关节 	lgj
Benefit Hypochondrium 	利脅肋 	lxl
Benefit Jaw 	利颌 	lh
Benefit Leg 	利腿脚 	ltj
Benefit Lips 	利唇 	lc
Benefit Lower Leg 	利下腿 	lzt
Benefit Mouth 	益口腔 	ykq
Benefit Neck 	利頸项 	ljx
Benefit Orifices 	益窍 	yq
Benefit Shoulder 	利肩膀 	ljb
Benefit Teeth 	䃼益牙齿 	yyc
Benefit Throat 	利喉咙 	lhl
Benefit Tongue 	利舌头 	lst
Benefit Uterus 	䃼益子宮 	yzg
Benefit Voice 	开声 	ks
Brighten Eyes 	明目	mm
Calm Fright 	鎮驚 	zj
Calm Heart 	安心 	ax
Calm Mind 	安神 	as
Calm Vexation 	除煩烦 	cff
Calm Wind 	定风 	df
Clear Blood Heat 	清血热 	qxr
Clear Deficiency Heat 	清虚热 	qxr
Clear Eyes 	清眼目 	qym
Clear Fire 	去火 	qh
Clear Gallbladder Heat 	清胆热 	qdr
Clear Head 	醒腦 	xn
Clear Heat 	清热 	qr
Clear Heat from Blood Level 	清血分热 	qxfr
Clear Heat from Qi Level 	清气分热 	qqfr
Clear Heat From Wei Level 	清卫分热 	qwfr
Clear Jaundice 	清黄疸 	qhd
Clear Liver Heat 	清肝热 	qgr
Clear Lung Heat 	清肺热 	qfr
Clear Pericardium Heat 	清心包热 	qxbr
Clear San Jiao Heat 	清三焦热 	qsjr
Clear Sense Organs 	清解感觉器官 	qjgjqg
Clear Throat 	清喉咙 	qhl
Clear Toxic Heat 	清热毒 	qrd
Clear Toxins 	去毒 	qd
Clear Upper Jiao Heat 	清上焦热 	qsjr
Consolidate Exterior 	固表 	gb
Consolidate Kidney Essence 	固肾精 	gsj
Control Blood Vessels 	统血脉 	txm
Cool Blood 	凉血 	lx
Cool Fire 	降火 	jh
Descend Lung Qi 	降肺气 	jfq
Descend Qi 	降气下行 	jqxx
Descend Yang Qi 	降阳气 	jyq
Detoxify Poison 	解毒 	jd
Dispel Accumulation 	消積 	xj
Dispel Fear 	却驚 	qj
Dispel Wind-Cold 	去风寒 	qfh
Dispel Wind-Damp 	去风濕 	qfs
Disperse Cold 	去风 	qf
Disperse Lung Qi 	散肺气 	sfq
Disperse Masses 	散结 	sj
Dissipate Nodules 	消癭 	xy
Dissipate Swelling 	去腫 	qz
Drain Dampness 	渗濕 	ss
Drain Fire 	泻火 	xh
Expedite Delivery 	催生 	cs
Expel Parasites 	除虫 	cc
Expel Pathogen 	去病 	qb
Expel Stone 	下石 	xs
Expel Wind 	消风 	xf
Extinguish Wind 	熄风 	xf
Gather Qi 	固气 	gq
Generate Fluid 	滋阴	zy
Harmonize Gallbladder 	平胆	pd
Harmonize Middle Jiao 	和解中焦	hjzj
Harmonize Shaoyang 	和解少阳	hjsy
Harmonize Stomach 	和胃	hw
Harmonize Yang 	平阳	py
Harmonize Yin and Yang 	调和阴阳	thyy
Harmonize Ying and Wei Qi 	调和营卫	thyw
Induce Labor 	催产	cc
Induce Sweating 	発汗	fh
Lower Qi 	下气	xq
Moisten Dryness 	润燥	rz
Moisten Intestines 	润肠	rc
Move Blood 	行血	xx
Move Qi 	行气	xq
Nourish Blood 	䃼血	bx
