ai fu nuan gong wan	艾附暖宫丸	afngw
an chong tang 	安冲汤	act
an gong niu haung wan 	安宫牛黄丸	agnhw
an shen ding zhi wan	安神定志丸	asdzw
an tai yin 	安胎饮	aty
ba zhen tang 	八珍汤	bzt
ba zheng san 	八正散	bzs
bai du san	敗毒散	bds
bai he gu jin tang	百合固金汤	bhgjt
bai hu jia ren shen tang	白虎加人参汤	bhjrst
bai hu tang 	白虎汤	bht
bai tong tang	白通汤	btt
bai tou weng tang	白头翁汤	btwt
bai zhu shao yao san	白朮芍药散	bzsys
bai zi yang xin wan 	柏子养心丸	bzyxw
ban xia bai zhu tian ma tang 	半夏白术天麻汤	bxbztmt
ban xia hou po tang	半夏厚朴汤	bxhpt
ban xia xie xin tang 	半夏泻心汤	bxxxt
bao he wan 	保和合剂	bhw
bao yin jian 	保阴煎	byj
bao yuan tang 	保元汤	byt
bei mu gua lou san 	贝母瓜蒌散	bmgls
bie xie fen qing yin 	萆解分清饮	bxfqy
bu yang huan wu tang	补阳还五汤	byhwt
bu zhong yi qi tang 	补中益气汤	bzyqt
er zi san	苍耳子散	ezs
chai hu gui zhi gan jiang tang 	柴胡桂枝干姜汤	chgzgjt
chai hu gui zhi tang 	柴胡桂枝汤	chgzt
chai hu jia long gu mu li tang	柴胡加龙骨牡蛎汤	chjlgmlt
chai hu shu gan san	柴胡疏肝散	chsgs
chen xiang jiang qi tang 	沉香降气汤	cxjqt
chuan xiong cha tiao san 	川芎茶调散	cxcts
ci zhu wan 	磁珠丸	czw
da bu yin wan 	大补阴丸合剂	dbyw
da chai hu tang 	大柴胡汤	dcht
da cheng qi tang 	大承气汤	dcqt
da ding feng zhu 	大定风珠	ddfz
da huang fu zi tang 	大黄附子汤	dhfzt
da huang huang lian xie xin tang 	大黄黄连泻心汤	dhhlxxt
da huang mu dan tang 	大黄牡丹汤	dhmdt
da jian zhong tang 	大建中汤	djzt
da qing long tang 	大青龙汤	dqlt
dan zhi xiao yao san 	丹栀逍遥散	dzxys
dang gui bu xue tang 	当归补血汤	dgbxt
dang gui ji xue teng tang 	当归鸡血藤汤	dgjxtt
dang gui liu huang tang 	当归六黄汤	dglht
dang gui shao yao tang 	当归芍药汤	dgsyt
dang gui si ni tang 	当归四逆汤	dgsnt
dao chi san 	导赤散	dcs
dao tan tang	导痰汤	dtt
di dang tang 	抵当汤	ddt
di huang yin zi 	地黄引子	dhyz
die da wan 	跌打丸	ddw
ding chuan tang 	定喘汤	dct
ding jing tang 	定经汤	djt
ding xian wan	定痫丸	dxw
ding xiang shi di tang 	丁香柿蒂汤	dxsdt
du huo ji sheng tang 	定志汤	dhjst
er chen tang 	二陈汤	ect
er miao san 	二妙散	ems
er xian tang	二仙汤	ext
er zhi wan 	二至丸	ezw
fang feng tong sheng tang 	防风通圣散	fftst
fang ji huang qi tang 	防己黄芪汤	fjhqt
fei er wan 	肥儿丸	few
fu ling gui zhi gan cao da zao tang	茯苓桂枝甘草大枣汤	flgzgcdzt
fu ling tang 	茯苓汤	flt
fu tu dan	茯菟丹	ftd
fu yuan huo xue tang 	复元活血汤	fyhxt
fu zi li zhong wan	附子理中汤	fzlzw
fu zi tang	附子汤	fzt
fu zi xie xin tang 	附子泻心汤	fzxxt
gan cao gan jiang fu ling bai zhu tang 	甘草干姜茯苓白术汤	gcgjflbzt
gan cao gan jiang tang	甘草干姜汤	gcgjt
gan cao xie xin tang	甘草泻心汤	gcxxt
gan jiang ren shen ban xia wan 	干姜人参半夏	gjrsbxw
gan lu xiao du dan	甘露消毒丹	glxds
gan mai da zao tang	甘麦大枣汤	gmdzt
ge gen huang lian huang qin tang 	葛根黄连黄芩汤	gghlhqt
ge gen jia ban xia tang 	葛根加半夏汤	ggjbxt
ge gen qin lian tang	葛根芩连汤	ggqlt
ge gen tang	葛根汤	ggt
ge xia zhu yu tang	膈下逐瘀汤	gxzyt
gu ben zhi beng tang	固本止崩汤	gbzbt
gu chong tang	固冲汤	gct
gu jing wan 	固经丸	gjw
gua di san 	瓜蒂散	gds
gua lou xie bai bai jiu tang 	栝蒌薤白白酒汤	glxbbjt
gua lou xie bai ban xia tang	瓜蒌薤白半夏汤	glxbbxt
gui fu di huang wan	桂附地黄丸合剂	gfdhw
gui pi tang 	归脾汤	gpt
gui zhi fu ling wan 	桂枝茯苓丸	gzflw
gui zhi fu zi tang	桂枝附子汤	gzfzt
gui zhi jia ge gen tang 	桂枝加葛根汤	gzjggt
gui zhi jia hou po xing zi tang 	桂枝加厚朴杏子汤	gzjhpxzt
gui zhi long gu mu li tang 	桂枝龙骨牡蛎汤	gzlgmlt
gui zhi ren shen tang 	桂枝人参汤	gzrst
gui zhi shao yao tang 	桂枝芍药汤	gzsyt
gui zhi tang	桂枝汤	gzt
gun tan wan	滾痰丸	gtw
hai zao yu hu tang	海藻玉壶汤	hzyht
hao qin qing dan tang 	蒿芩清胆汤	hqqdt
hei xiao yao san 	黑逍遥散	hxys
hou po wen zhong tang 	厚朴温中汤	hpwzt
hua chong wan	化虫丸	hcw
huai hua san	槐花散	hhs
huang lian e jiao tang	黄连阿胶汤	hlejt
huang lian jie du tang	黄连解毒汤	hljdt
huang lian tang	黄连汤	hlt
huang lian wen dan tang	黄连温胆汤	hlwdt
huang long tang	黄龙汤	hlt
huang qi gui zhi wu wu tang	黄芪桂枝五物汤	hqgzwwt
huang qi jian zhong tang	黄芪建中汤	hqjzt
huang qin tang	黄芩汤	hqt
huang tu tang	黄土汤	htt
hui yang jiu ji tang 	回阳救急汤	hyjjt
huo luo xiao ling dan 	活络效灵丹	hlxld
huo xiang zheng qi san 	藿香正气散	hxzqs
ji chuang jian 	济川煎	jcj
