Pressure rolling 	加压滚法 	jygf
Pushing with one finger 	一指禅推法 	yzctf
Kneading	揉法 	rf
Finger kneading 	指揉法 	zrf
Palm kneading 	掌揉法 	zrf
Circular rubbing 	摩法 	mf
To and fro rubbing 	擦法 	cf
Pushing 	推法 	tf
Scraping 	刮法 	gf
Palm twisting 	搓法 	cf
Wiping 	抹法 	mf
Pressing 	按法 	af
Shaking	抖法 	df
Vibrating 	振法 	zf
Sweeping 	扫散法 	ssf
Plucking 	弹拨法 	tbf
Gripping	抓法 	zf
Chopping 	劈法 	pf
Digital pressing 	点法 	df
Scraping 	刮法 	gf
Grasping	拿法 	nf
Finger twisting 	捻法 	nf
Patting 	拍法 	pf
Percussion 	击法 	jf
Tapping 	叩击法 	kjf
Rotation 	摇法 	yf
Back carrying 	背法 	bf
Pulling 	扳法 	bf
Traction 	拔伸法 	bsf
Percussion/Tapping	叩法	kf
Rolling	滚法	gf
